Name,lat,lon,location_type,phone,address,working_hours,map_link
Bravo Mehdi Hüseynzadə küç.,40.459766,49.744411,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi 26",07:30 - 23:50,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459766,49.744411&travelmode=driver"
Bravo Özbəkistan küç.,40.414879,49.927147,Ekspres,+994 12 525 20 08,"Nizami rayonu, Mehdi Abbasov küçəsi 15A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414879,49.927147&travelmode=driver"
Bravo Ağa Nemətulla küç.,40.407623,49.868450,Ekspres,+994 12 525 20 08,Ağa Nemətulla küçəsi 209,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.407623,49.868450&travelmode=driver"
"Bravo ""Qurtuluş"" yaşayış kompleksi -1",40.490860,49.754726,Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, İstiqlaliyyət küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.490860,49.754726&travelmode=driver"
"Bravo ""Qurtuluş"" yaşayış kompleksi -2",40.486008,49.767689,Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, Qara Qarayev küçəsi 58A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486008,49.767689&travelmode=driver"
Bravo Səid Rüstəmov küç.,40.368454,49.829170,Ekspres,+994 12 525 20 08,"Səbail rayonu, Həsən Abdullayev küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368454,49.829170&travelmode=driver"
Bravo Hövsan,40.360592,50.078354,Ekspres,+994 12 525 20 08,"Hövsan qəsəbəsi, İlqar Əhlimanov küçasi 159D",07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.360592,50.078354&travelmode=driver"
Bravo Xırdalan -2,40.455780,49.736412,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Heydər Əliyev prospekti 240",08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.455780,49.736412&travelmode=driver"
Bravo Üzeyir Hacıbəyov küç.,40.371468,49.842682,Ekspres,+994 12 525 20 08,"Səbail rayonu, Səməd Vurğun küçəsi 3",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.371468,49.842682&travelmode=driver"
Bravo Əhmədli m/s,40.385784,49.953472,Ekspres,+994 12 525 20 08,"Xətai rayonu, Məhəmməd Hadi küçəsi182",07:00-02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385784,49.953472&travelmode=driver"
Bravo Maştağa,40.531670,49.991234,Ekspres,+994 12 525 20 08,"Maştağa qəsəbəsi, Nizami küçəsi 97",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.531670,49.991234&travelmode=driver"
Bravo Şuşa,39.758015,46.744385,Ekspres,+994 12 525 20 08,"Şuşa şəhəri, Aslan Qaraşarov küçəsi",08:00 - 00:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=39.758015,46.744385&travelmode=driver"
Bravo Buzovna,40.511261,50.140347,Ekspres,,"Mərdəkan qəsəbəsi, Buzovna-Mərdəkan yolu",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.511261,50.140347&travelmode=driver"
Bravo Binəqədi şossesi,40.449390,49.843666,Market,,"Binəqədi qəsəbəsi, Binəqədi şossesi, 1-ci küçə",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.449390,49.843666&travelmode=driver"
Bravo Tovuz,40.991013,45.615772,Market,,"Tovuz şəhəri, Həzi Aslanov küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.991013,45.615772&travelmode=driver"
"Bravo ""AAAF Park"" yaşayış kompleksi",40.459625,49.720074,Ekspres,,"H.Əliyev prospekti 167,  AAAF park yasayis kompleksi 28 saylı küçə, bina 5",07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459625,49.720074&travelmode=driver"
Bravo Xırdalan H.Əliyev pr-2,40.463448,49.724785,Market,,"Xırdalan şəhəri, H.Əliyev prospekti 263",07:30 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.463448,49.724785&travelmode=driver"
Bravo A.Abbaszadə küç.,40.355026,49.816319,Ekspres,,"Badamdar qəsəbəsi, Abbasqulu Abbaszadə küçəsi 59 A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.355026,49.816319&travelmode=driver"
Bravo Qala yolu,40.456032,50.142788,Market,,"Qala qəsəbəsi, 3 Nömrəli Zeytun Savxozunun ərazisi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.456032,50.142788&travelmode=driver"
Bravo Lənkəran,38.757114,48.833950,Super,,"Lənkəran rayonu, Şilavar kəndi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.757114,48.833950&travelmode=driver"
Bravo Şamaxı,40.641991,48.635811,Market,,"Şamaxı şəhəri, Məmməd Əmin Rəsulzadə küçəsi 28,30",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.641991,48.635811&travelmode=driver"
Bravo Göyçay,40.651539,47.750381,Market,,"Göyçay şəhəri, Nizami küçəsi 214 A",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.651539,47.750381&travelmode=driver"
Bravo Zirə,40.382217,50.287785,Ekspres,,"Zirə qəsəbəsi, Cəlal Əliyev küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382217,50.287785&travelmode=driver"
Bravo Lənkəran Dosa Mall,38.754219,48.852238,Market,,"Lənkəran şəhəri, Dosa Mall, Fikrət Məmmədov küçəsi 23",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.754219,48.852238&travelmode=driver"
Bravo İmişli,39.868732,48.061630,Market,,"İmişli şəhəri, Qədir İsmayılzadə küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=39.868732,48.061630&travelmode=driver"
Şirkət,,,,,,,
,,,,,,,
Digər,,,,,,,
Hüquq,,,,,,,
